slno,trans_date_trans_time,cc_num,category,AMT_TRANS,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
0,21-06-2020 12:14,2.29E+15,personal_care,406597.5,Jeff,Elliott,M,351 Darlene Green,Columbia,SC,29209,33.9659,-80.9355,333497,Mechanical engineer,19-03-1968,2da90c7d74bd46a0caf3777415b3ebd3,33.986391,-81.200714,0
1,21-06-2020 12:14,3.57E+15,personal_care,1293502.5,Joanne,Williams,F,3638 Marsh Union,Altonah,UT,84002,40.3207,-110.436,302,"Sales professional, IT",17-01-1990,324cc204407e99f51b0d6ca0055005e7,39.450498,-109.960431,1
2,21-06-2020 12:14,3.60E+15,health_fitness,135000,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",21-10-1970,c81755dbbbea9d5c77f094348a7579be,40.49581,-74.196111,1
3,21-06-2020 12:15,3.59E+15,misc_pos,312682.5,Brian,Williams,M,32941 Krystal Mill Apt. 552,Titusville,FL,32780,28.5697,-80.8191,54767,Set designer,25-07-1987,2159175b9efe66dc301f149d3d5abf8c,28.812398,-80.883061,0
4,21-06-2020 12:15,3.53E+15,travel,513000,Nathan,Massey,M,5783 Evan Roads Apt. 465,Falmouth,MI,49632,44.2529,-85.017,1126,Furniture designer,06-07-1955,57ff021bd3f328f8738bb535c302a31b,44.959148,-85.884734,1
5,21-06-2020 12:15,3.04E+13,kids_pets,490495.5,Danielle,Evans,F,76752 David Lodge Apt. 064,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,13-10-1991,798db04aaceb4febd084f1a7c404da93,41.747157,-77.584197,0
6,21-06-2020 12:15,2.13E+14,health_fitness,1560726,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",15-01-1951,17003d7ce534440eadb10c4750e020e5,41.499458,-124.888729,1
7,21-06-2020 12:15,3.59E+15,personal_care,1530000,Paula,Estrada,F,350 Stacy Glens,Spencer,SD,57374,43.7557,-97.5936,343,"Development worker, international aid",05-03-1972,8be473af4f05fc6146ea55ace73e7ca2,44.495498,-97.728453,0
8,21-06-2020 12:16,3.60E+15,shopping_pos,1019610,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,27-05-1973,71a1da150d1ce510193d7622e08e784e,41.546067,-78.120238,1
9,21-06-2020 12:16,3.55E+15,food_dining,405000,Kayla,Obrien,F,7921 Robert Port Suite 343,Prairie Hill,TX,76678,31.6591,-96.8094,263,Barrister,30-05-1956,a7915132c7c4240996ba03a47f81e3bd,31.782919,-96.366185,0
10,21-06-2020 12:16,2.24E+15,food_dining,652500,Samuel,Jenkins,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,10-04-1996,3b8e4d02d9e1a3bf97cf449eb0317f2c,38.977546,-84.727994,1
11,21-06-2020 12:16,5.71E+11,kids_pets,148365,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,26-02-1976,fa3071565d94fb286cb0ed398c6d61d3,42.687774,-108.670054,0
12,21-06-2020 12:17,6.59E+15,home,80865,Melissa,Meza,F,244 Abbott Parkway,Loxahatchee,FL,33470,26.7383,-80.276,26551,Paramedic,04-01-1977,a21cb82e7d8fdbf4062f15c9422a4ca6,26.07846,-80.569932,0
13,21-06-2020 12:18,4.99E+12,food_dining,918468,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,17-03-1937,d0d2b5cca5ae19e0a07dc7ef5d51e59e,40.71168,-73.668384,0
14,21-06-2020 12:18,6.01E+15,kids_pets,773680.5,Ashley,Whitney,F,4038 Smith Avenue,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,02-11-1971,61dca41a9728ea5fd6db99efd59768f8,32.721131,-87.253846,1
15,21-06-2020 12:18,4.57E+15,entertainment,299772,Christine,Leblanc,F,5097 Jodi Vista Suite 811,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,09-04-1988,ea11379e8aa1b08d584149d65770faee,29.83155,-80.926829,0
16,21-06-2020 12:18,4.91E+18,shopping_pos,509602.5,Charles,Moreno,M,838 Franklin Prairie Apt. 902,Key West,FL,33040,24.6557,-81.3824,32891,Town planner,13-02-1987,00da72495351ce6bd9ecb75d51cca89b,24.306325,-81.065169,0
17,21-06-2020 12:19,4.91E+15,kids_pets,270000,Lauren,Torres,F,03030 White Lakes,Grandview,TX,76050,32.2779,-97.2351,5875,"Radiographer, therapeutic",24-07-1992,67288141e8206f6f49706c1cef5b75d3,33.182349,-97.919284,0
18,21-06-2020 12:19,4.86E+18,entertainment,157500,Ashley,Cruz,F,65417 Walsh Radial Suite 691,Saint Amant,LA,70774,30.2385,-90.8435,10076,"Surveyor, rural practice",16-12-1977,71bb6ee81f9af4d2a38bf6af2b614708,30.44999,-89.930996,1
19,21-06-2020 12:20,6.54E+15,personal_care,544491,Gina,Grimes,F,444 Robert Mews,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,22-09-1997,2d7640ea4f3bcd520a3c33200c393dd8,40.508064,-79.615158,0
20,21-06-2020 12:20,2.28E+15,travel,427500,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,27-12-1997,1650f4f052cc85af7bd417fa17d59ac5,33.195225,-84.119083,0
21,21-06-2020 12:20,4.56E+18,kids_pets,1132573.5,Stacy,Villegas,F,20581 Pena Walks,Colorado Springs,CO,80951,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,09-05-1992,b14cd1ccf78a409c664bf071872a4384,39.844711,-103.975632,0
22,21-06-2020 12:20,4.56E+12,travel,497520,Christopher,Johnson,M,28711 Kristine Junction Suite 309,Greenville,OH,45331,40.0987,-84.6342,22930,Media planner,26-11-1971,d8edb8556aad03a15e2d5702948a47fb,40.117116,-84.175021,0
23,21-06-2020 12:21,2.13E+14,travel,239850,Rebecca,Conley,F,181 Moreno Light Apt. 215,Tomahawk,WI,54487,45.4963,-89.7273,9594,Seismic interpreter,23-11-1997,79f931ffc97dfe9966cd7d09613fe308,45.47444,-89.539774,1
24,21-06-2020 12:21,3.73E+14,shopping_pos,247500,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,18-06-1985,df862b772cfb9ca0d621c259df11a652,43.702833,-83.750248,0
